"","dataTime","stationName","so2Value","coValue","o3Value","no2Value","pm10Value"
"1","2022-02-11 15:00","신풍동","0.004","0.7","0.046","0.035","88"
"2","2022-02-11 15:00","인계동","0.003","0.5","0.042","0.042","91"
"3","2022-02-11 15:00","광교동","0.004","0.7","0.027","0.043","85"
"4","2022-02-11 15:00","영통동","0.004","0.7","0.050","0.031","104"
"5","2022-02-11 15:00","천천동","0.003","0.4","0.055","0.029","100"
"6","2022-02-11 15:00","경수대로(동수원)","0.004","0.8","0.032","0.055","133"
"7","2022-02-11 15:00","고색동","0.004","0.6","0.049","0.034","104"
"8","2022-02-11 15:00","호매실동","0.004","0.5","0.059","0.031","111"
"9","2022-02-11 15:00","대왕판교로(백현동)","0.003","0.7","0.031","0.048","104"
"10","2022-02-11 15:00","단대동","0.003","0.7","0.037","0.045","112"
